44818	P 63/m m c	(Li0.1 Ni0.9) S	NiAs	Domaine de stabilite de la phase hexagonale de type Ni As dans le diagramme ternaire nickel-lithium-soufre a 540 C	Rey, J.;  Laffitte, M.	Acta Crystallographica (1,1948-23,1967) (1966) 21,  p686-p688
44870	P 63/m m c	Ir Te	NiAs	Synthesis, structures, and properties of platinum metal tellurides	Groeneveld Meijer, W.O.J.	American Mineralogist (1955) 40,  p646-p657
44992	P 63/m m c	Nb S	NiAs	The tungsten carbide and nickel arsenide structures	Schoenberg, N.	Acta Metallurgica (1954) 2,  p427-p432
76007	P 63/m m c	Nb N0.95	NiAs	Some features of the Nb-N and Nb-N-O systems	Schoenberg, N.	Acta Chemica Scandinavica (1-27,1973-42,1988) (1954) 8,  p208-p212
76036	P 63/m m c	Ti S	NiAs	X-ray studies of sulfides of titanium, zirconium, niobium, and tantalum	Haegg, G.;  Schoenberg, N.	Arkiv foer Kemi (1954) 7,  p371-p380
76079	P 63/m m c	Mn Ni Sb2	NiAs	Spin glass state of Mnx Ni1-x Sb: Synthesis in high pressure and high temperature atmosphere	Adachi, K.;  Imura, R.;  Marsui, M.;  Sawamoto, H.	Journal of the Physical Society of Japan (1978) 44,  p114-p121
76082	P 63/m m c	(Mn0.6 Ni0.4) Se	NiAs	Studies on some mixed chalcogenides	Kamat Dalal, V.N.;  Keer, H.V.;  Biswas, A.B.	Journal of Inorganic and Nuclear Chemistry (1971) 33,  p2839-p2845
76118	P 63/m m c	Co Sb	NiAs	Magnetic and crystallographic studies on the higher antimonides of iron	Rosenqvist, T.	Acta Metallurgica (1953) 1,  p761-p763
76212	P 63/m m c	Mn Sb	NiAs	On the existence of the compound Mn Sb	Vanyarkho, G.V.;  Moshchalkova, N.A.;  Gunchenko, V.M.;  Fadeeva, N.V.	Izvestiya Akademii Nauk SSSR, Neorganicheskie Materialy (1988) 24,  p762-p765
76215	P 63/m m c	Mn2 Sb Te	NiAs	Magnetic phase transitions in Mn0.5 Te0.5-x Sbx	Abdul Noor, S.S.	Journal of Applied Physics (1987) 61,  p3549-p3551
76218	P 63/m m c	Mn Se	NiAs	Ueber eine neue Hochdruckmodifikation des MnSe vom Ni As -Typ und ueber die Mischbarkeit Mn Se - Mn Te	Cemic, L.;  Neuhaus, A.	High Temperatures-High Pressures (1972) 4,  p97-p99
76220	P 63/m m c	Mn (Se0.2 Te0.8)	NiAs	The Mn Te - Mn Se system	Panson, A.J.;  Johnston, W.D.	Journal of Inorganic and Nuclear Chemistry (1964) 26,  p701-p703
76242	P 63/m m c	Mn V Te2	NiAs	Substitution von Chrom durch Vanadium und Mangan im Ferromagneten Cr Te	Noesselt, J.;  Sondermann, U.;  Treutmann, W.	Zeitschrift fuer Angewandte Physik (1971) 32,  p66-p69
76384	P 63/m m c	Nb N	NiAs	Nouveau nitrures de tantale. Nitrure et oxynitrures mixtes de tantale et de niobium	Fontbonne, A.;  Gilles, J.C.	Revue Internationale des Hautes Temperatures et des Refractaires (1969) 6,  p181-p192
76406	P 63/m m c	Ti Sb	NiAs	Untersuchungen im System Titan-Antimon	Nowotny, H.N.;  Pesl, J.	Monatshefte fuer Chemie (1951) 82,  p336-p343
76408	P 63/m m c	Mn As	NiAs	Kristallchemische Untersuchungen in den Systemen Mn-As, V-Sb, Ti-Sb	Nowotny, H.N.;  Funk, R.;  Pesl, J.	Monatshefte fuer Chemie (1951) 82,  p513-p525
76571	P 63/m m c	Nb Sb	NiAs	Constitution diagram of the niobium-antimony system	Myzenkova, L.F.;  Baron, V.V.;  Savitskii, Y.M.	Izvestiya Akademii Nauk SSSR, Metally (1966) 1966, (165) p89-p163
76620	P 63/m m c	Mn Sb	NiAs	Neue Phasen vom Mn P (B-31)-Typ	Pfisterer, H.;  Schubert, K.	Zeitschrift fuer Metallkunde (1950) 41,  p358-p367
76643	P 63/m m c	V Te	NiAs	Ueber Titanselenide und -telluride	Ehrlich, P.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1949) 260,  p1-p18
76686	P 63/m m c	Ni2 S Se	NiAs	Contribution a l&#39;etude du systeme ternaire Ni-S-Se	Cordonnier, J.V.;  Rey, J.;  Lafitte, M.	Comptes Rendus Hebdomadaires des Seances de l&#39;Academie des Sciences, Serie C, Sciences Chimiques (1966-) (1970) 271,  p53-p55
76688	P 63/m m c	Ni2 S Te	NiAs	Studies on the Ni Sy Te1-y system	Kamat Dalal, V.N.;  Keer, V.	Journal of the Less-Common Metals (1975) 40,  p145-p151
76689	P 63/m m c	Ni0.93 Ti0.07 S	NiAs	Impurity effects of the 3d-transition metal atoms in the first order magnetic and electrical transition in Ni S	Futami, T.;  Anzai, S.	Journal of Applied Physics (1984) 56,  p440-p447
76698	P 63/m m c	Ni2 Sb Te	NiAs	Phase diagram and certain properties of alloys of the Ni Sb - Ni Te system	Makovetskii, G.I.;  Shakhlevich, G.M.	Izvestiya Akademii Nauk SSSR, Neorganicheskie Materialy (1982) 18,  p186-p189
76708	P 63/m m c	Ni Se	NiAs	On the system Ni-Se-Te	Rost, E.;  Vestersjoe, E.	Acta Chemica Scandinavica (1-27,1973-42,1988) (1968) 22,  p2118-p2134
76729	P 63/m m c	Ni Te	NiAs	Uebergangsmetall Chalcogensysteme, 3. Mitt.: Das System Nickel-Tellur	Klepp, K.O.;  Komarek, K.L.	Monatshefte fuer Chemie (1972) 103,  p934-p946
76939	P 63/m m c	Mn As	NiAs	La polymorphisme particulair du compose Mn As aux temperatures de disparition et de reapparition de l&#39;aimantation spontanee	Guillaud, C.;  Wyart, J.	Comptes Rendus Hebdomadaires des Seances de l&#39;Academie des Sciences (1884 - 1965) (1944) 219,  p393-p395
77019	P 63/m m c	Hf.5 Ta1.5 C2	NiAs	Untersuchungen im System Hafnium-Tantal-Kohlenstoff	Rudy, E.;  Nowotny, H.N.	Monatshefte fuer Chemie (1963) 94,  p507-p517
41274	P 63/m m c	(Ti0.75 V0.25) S	NiAs	Variation of lattice parameters in Ti S - V S solid solutions	Franzen, H.F.;  Leebrick, D.H.;  Laabs, F.	Journal of Solid State Chemistry (1975) 13,  p307-p310
53003	P 63/m m c	(Co0.3 Mn0.7) Sb	NiAs	Ferromagnetic and spin-wave resonance studies in Mn1-x Fex Sb and Mn1-x Cox Sb	Seshu Bai, V.;  Rama Rao, K.V.S.	Journal of Physics F (1983) 13,  p695-p702
53005	P 63/m m c	(Co0.6 Mn0.4) Se	NiAs	Studies on some mixed chalcogenides	Kamat Dalal, V.N.;  Keer, H.V.;  Biswas, A.B.	Journal of Inorganic and Nuclear Chemistry (1971) 33,  p2839-p2845
53050	P 63/m m c	(Co0.5 Ni) S2	NiAs	Pressure-temperature study of sulfospinels	Tressler, R.E.;  Hummel, F.A.;  Stubican, V.S.	Journal of the American Ceramic Society (1968) 51,  p648-p651
53051	P 63/m m c	(Co0.12 Ni1.88) S2	NiAs	Impurity effects of 3d transition metal atoms on the firstorder magnetic and electrical transition in Ni S	Futami, T.;  Anzai, S.	Journal of Applied Physics (1984) 56,  p440-p447
53053	P 63/m m c	Co Ni Se2	NiAs	Studies on some mixed chalcogenides	Kamat Dalal, V.N.;  Keer, H.V.;  Biswas, A.B.	Journal of Inorganic and Nuclear Chemistry (1971) 33,  p2839-p2845
53055	P 63/m m c	Co Ni Te2	NiAs	Etude par diffraction-X de quelques composes du systeme Ni-Co-Te obtenus par synthese thermique	de Meester de Betzembroeck, P.;  Naud, J.	Bulletin des Societes chimiques Belges (1971) 80,  p107-p116
53072	P 63/m m c	Co Se	NiAs	Studies on some mixed chalcogenides	Kamat Dalal, V.N.;  Keer, H.V.;  Biswas, A.B.	Journal of Inorganic and Nuclear Chemistry (1971) 33,  p2839-p2845
53090	P 63/m m c	Co Te	NiAs	Etude par diffraction-X de quelques composes du systeme Ni-Co-Te obtenus par synthese thermique	de Meester de Betzembroeck, P.;  Naud, J.	Bulletin des Societes chimiques Belges (1971) 80,  p107-p116
